iteration time doc.count score word.count unseen.score unseen.word.count
1 13 100 -468516.50297 32582 -468516.50297 32582
2 17 200 -568731.88622 33479 -568731.88622 33479
3 21 300 -681687.40163 35604 -681687.40163 35604
4 25 400 -610038.88495 33742 -610038.88495 33742
5 28 500 -575897.24025 33178 -575897.24025 33178
6 32 600 -515542.71057 30247 -515542.71057 30247
7 35 700 -566747.91614 31721 -565474.84916 31550
8 39 800 -608762.50779 35028 -607319.13915 34877
9 42 900 -526329.35110 31196 -526329.35110 31196
10 45 1000 -583774.34561 34336 -583774.34561 34336
11 49 1100 -519393.27841 32286 -519393.27841 32286
12 52 1200 -588369.02754 33506 -588369.02754 33506
13 55 1300 -563223.51037 35294 -563223.51037 35294
14 58 1400 -544185.96523 33682 -544185.96523 33682
15 61 1500 -573252.56208 34762 -573252.56208 34762
16 64 1600 -551678.22045 33623 -551678.22045 33623
17 67 1700 -488210.51792 31334 -488210.51792 31334
18 70 1800 -514908.27953 32127 -514908.27953 32127
19 73 1900 -462473.19112 31919 -456276.05753 31212
20 76 2000 -512072.90397 32826 -512072.90397 32826
21 80 2100 -477236.14059 32435 -477236.14059 32435
22 83 2200 -498448.83969 35737 -498448.83969 35737
23 86 2300 -550753.03882 35756 -549831.44760 35656
24 89 2400 -474631.08569 34512 -474631.08569 34512
25 93 2500 -488779.72511 34983 -485174.86299 34572
26 96 2600 -494571.26842 34217 -494571.26842 34217
27 99 2700 -402918.00104 31210 -402918.00104 31210
28 102 2800 -465604.32752 31280 -465604.32752 31280
29 105 2900 -371239.47492 28901 -371239.47492 28901
30 108 3000 -476417.47728 33446 -475144.93497 33315
31 111 3100 -428866.84051 32254 -426158.79381 31958
32 113 3200 -432048.23303 31846 -425142.42632 31089
33 117 3300 -475859.52784 35760 -475859.52784 35760
34 119 3400 -447089.14793 33058 -442587.29421 32588
35 122 3500 -416357.40477 31831 -413776.61977 31610
36 125 3600 -426579.20164 33408 -426579.20164 33408
37 128 3700 -414604.07828 32800 -411946.87815 32503
38 131 3800 -400036.33184 32093 -391971.06773 31239
39 133 3900 -475414.32910 35306 -460156.42381 33694
40 136 4000 -397576.82839 31485 -391162.35010 30963
