iteration time doc.count score word.count unseen.score unseen.word.count
1 4 100 -471992.49311 32582 -471992.49311 32582
2 9 200 -538561.93626 33479 -538561.93626 33479
3 13 300 -601196.52050 35604 -601196.52050 35604
4 18 400 -538175.54374 33742 -538175.54374 33742
5 22 500 -493064.32770 33178 -493064.32770 33178
6 25 600 -448222.27458 30247 -448222.27458 30247
7 29 700 -471907.06509 31721 -470699.58231 31550
8 33 800 -511778.10845 35028 -510335.26111 34877
9 38 900 -438310.00473 31196 -438310.00473 31196
10 43 1000 -483814.43517 34336 -483814.43517 34336
11 47 1100 -442092.15658 32286 -442092.15658 32286
12 52 1200 -487043.03440 33506 -487043.03440 33506
13 56 1300 -484497.42271 35294 -484497.42271 35294
14 61 1400 -466975.42456 33682 -466975.42456 33682
15 65 1500 -504314.83642 34762 -504314.83642 34762
16 69 1600 -482351.68113 33623 -482351.68113 33623
17 74 1700 -433070.71776 31334 -433070.71776 31334
18 78 1800 -459096.29568 32127 -459096.29568 32127
19 82 1900 -419825.14339 31919 -415354.17376 31212
20 86 2000 -465520.69409 32826 -465520.69409 32826
21 90 2100 -443858.12435 32435 -443858.12435 32435
22 94 2200 -466618.43175 35737 -466618.43175 35737
23 98 2300 -508982.66604 35756 -508065.93232 35656
24 102 2400 -449835.63908 34512 -449835.63908 34512
25 106 2500 -466424.83538 34983 -462809.42071 34572
26 110 2600 -466111.25491 34217 -466111.25491 34217
27 114 2700 -385865.40566 31210 -385865.40566 31210
28 118 2800 -444094.32084 31280 -444094.32084 31280
29 122 2900 -359556.95123 28901 -359556.95123 28901
30 126 3000 -457391.39503 33446 -456145.28379 33315
31 130 3100 -414393.04644 32254 -411679.95734 31958
32 134 3200 -419349.20568 31846 -412479.32361 31089
33 138 3300 -464466.55728 35760 -464466.55728 35760
34 141 3400 -434932.04434 33058 -430573.38802 32588
35 145 3500 -407316.12816 31831 -404836.71387 31610
36 149 3600 -417565.90698 33408 -417565.90698 33408
37 153 3700 -407003.76011 32800 -404360.08221 32503
38 157 3800 -392324.03961 32093 -384325.10043 31239
39 161 3900 -463519.35958 35306 -448327.89273 33694
40 165 4000 -387549.52471 31485 -383487.88169 30963
41 168 4100 -390875.29708 32254 -382766.54582 31408
42 173 4200 -414233.65765 33052 -407388.97443 32331
43 177 4300 -395344.97907 32702 -386264.97100 31717
44 181 4400 -399669.80776 33274 -386456.41455 31838
45 185 4500 -424131.70158 35853 -422287.36764 35681
46 188 4600 -409811.34407 33491 -408364.89625 33333
47 192 4700 -388803.58147 32839 -377320.87015 31591
48 196 4800 -408767.82688 34588 -404983.09137 34179
49 199 4900 -433868.50171 34695 -433868.50171 34695
50 203 5000 -364316.29608 31421 -356315.55315 30540
51 207 5100 -395702.13571 34647 -385072.56634 33456
52 211 5200 -372515.27017 31501 -365728.58382 30766
53 214 5300 -395503.92576 32664 -393623.19671 32470
54 218 5400 -366491.62166 32169 -360371.96021 31501
55 222 5500 -419885.29739 35343 -418744.25725 35227
56 226 5600 -371167.09231 31277 -367796.09687 30903
57 230 5700 -382677.63025 32959 -375760.10440 32214
58 233 5800 -390629.79905 34078 -378033.45776 32743
59 237 5900 -412898.99819 35109 -408402.31420 34601
60 241 6000 -372017.62155 32263 -368024.78875 31824
